#Name Ra Dec Flux[V] maj_ax min_ax
NGC144 7.836077083333334 -22.645626666666665 -- 0.513 0.462
NGC145 7.940541666666666 -5.152652777777778 -- 0.9 0.612
NGC146 8.262500000000001 63.31666666666667 9.1 9.0 9.0
NGC147 8.3005 48.50873888888889 9.5 12.59 7.08
NGC148 8.564597083333334 -31.785999444444446 12.12 1.39 0.584
NGC149 8.45949375 30.723391666666664 -- 0.643 0.36
NGC150 8.564469583333333 -27.803562222222222 11.13 1.99 1.114
NGC151 8.511630833333331 -9.705271944444444 11.59 1.517 0.971
NGC152 8.236500000000001 -73.11566666666666 12.26 3.0 3.0
NGC153 8.511630833333331 -9.705271944444444 11.59 1.517 0.971
NGC154 8.581107083333332 -12.656238611111112 -- 0.66 0.541
NGC155 8.667015 -10.7665375 -- 0.773 0.681
NGC157 8.694949583333333 -8.396464722222222 -- 2.41 1.639
NGC159 8.6480975 -55.790010277777775 -- 0.873 0.297
NGC160 9.017075833333333 23.95791722222222 -- 1.113 0.757
NGC161 8.891364166666667 -2.848681388888889 -- 0.82 0.476
NGC162 9.038683749999999 23.962410277777778 15.06 -- --
NGC163 8.999283333333333 -10.121697222222222 12.7 0.753 0.723
NGC164 9.137022499999999 2.7497961111111113 -- 0.273 0.268
NGC165 9.120570416666666 -10.10597111111111 13.08 0.75 0.54
NGC166 8.953217500000001 -13.610560277777777 -- 0.627 0.213
NGC167 8.84625 -23.375019444444444 -- 0.637 0.484
NGC168 9.161159999999999 -22.593484999999998 -- 0.84 0.235
NGC169 9.21503 23.990986944444444 13.1 0.987 0.75
NGC170 9.190906250000001 1.88648 -- 0.48 0.259
NGC171 9.339786666666667 -19.93426611111111 -- 1.257 1.106
NGC172 9.3069 -22.587138888888887 -- 0.96 0.211
NGC173 9.30194 1.9422336111111111 -- 0.82 0.607
NGC174 9.245520833333332 -29.47787222222222 -- 1.033 0.496
NGC175 9.339786666666667 -19.93426611111111 -- 1.257 1.106
NGC176 8.9945 -73.16569444444445 13.01 1.2 1.2
NGC177 9.393079166666666 -22.549249444444445 -- 1.4 0.336
NGC178 9.7847625 -14.172772499999999 -- 0.87 0.452
NGC179 9.442765416666667 -17.849518055555553 -- 0.623 0.486
