#Name Ra Dec Flux[V] maj_ax min_ax
IC355 58.44269825978999 19.97390707105 15.399999618530273 0.543 0.435
IC356 61.94536232896001 69.81242103478 -- -- --
IC357 60.93334143102 22.159125936449996 -- 0.823 0.741
IC358 60.92863236734001 19.89500282549 -- 0.957 0.249
IC359 63.11802186024 27.701911894489996 -- 1.44 1.382
IC360 63.25 25.6 -- -- --
IC361 64.736 58.251999999999995 11.699999809265137 8.2 8.2
IC362 64.17677921904 -12.20009768818 -- 0.9 0.576
IC363 64.73095180188 3.03306381368 -- 0.327 0.307
IC364 64.77788464755 3.18899617315 -- 0.543 0.402
IC365 64.80895211752 3.34838958047 -- 0.77 0.477
IC366 64.92308129095 2.35981945383 -- 0.423 0.271
IC367 65.17075613308 -14.780964641329998 -- 1.05 0.441
IC368 65.67803935383 -12.615115518999998 -- 0.58 0.522
IC369 65.86762478732 -11.79008163354 -- 0.467 0.448
IC370 66.00703075905 -9.39481728706 -- 0.597 0.43
IC373 67.6782226648 -4.870241974109999 -- 0.73 0.496
IC374 68.13651657187 16.634166271199998 -- 0.91 0.491
IC375 67.76312386342 -12.97398464555 -- 0.643 0.386
IC376 67.81894738768 -12.45506513242 -- 0.583 0.572
IC379 67.9623469064 -7.238343652390001 -- 0.593 0.522
IC380 67.92212499055 -12.927037393340003 -- 0.42 0.311
IC381 71.11905562207 75.63973384548 -- 1.053 0.906
IC382 69.48156382206 -9.51929994347 -- 0.88 0.792
IC383 69.74178735907 9.8925177917 -- 0.62 0.546
IC385 69.88110436826 -7.09740573808 -- 0.8 0.4
IC386 69.99410345508 -9.45619772835 -- 0.493 0.385
IC387 70.43436086739 -7.086307389559999 -- 1.01 0.667
IC388 70.47635605157 -7.306381140029999 -- 0.347 0.291
IC389 70.49844113471 -7.311425590519999 -- 0.673 0.566
IC390 70.51624589132 -7.20643074169 -- 0.773 0.34
IC391 74.33792916666667 78.18875 -- 0.943 0.868
IC392 71.60729035191 3.50554777165 -- 0.513 0.359
IC393 71.96588528725 -15.525126395009996 -- 0.553 0.465
IC395 72.39183197417 0.25280091401 -- 0.753 0.603
IC396 74.49633646803 68.32350849136 -- 1.67 1.136
